Team,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,A?,2P%,2P%D,3P%,3P%D,Blk,BlkD,Ast,AstD,3PR,3PRD,B?,C?,D?
Saint Francis,49.1,56.6,19.1,30.4,20.5,16.3,23.4,31.1,69.8,49.1,59.3,32.7,35.6,5.7,11.2,52.9,55.6,43.2,44.9,70.5,72.1,73.2
Santa Clara,51.9,49.7,31.3,35.9,17.9,18.9,34.8,30.2,69.5,52.5,48.9,34.1,33.9,10.5,10.1,54.6,54.5,44.8,41.3,69.6,76,67.7
Loyola Marymount,47.6,49,25.5,24.9,16.3,16,24.2,26.4,68.7,48.8,47,30.6,35.1,12.5,5.6,50,48.7,43.5,36,68.5,70.6,78.4
Delaware,53.8,48.4,37.1,33.3,17.6,15.9,22.8,34.7,72.5,50.2,47.2,39.3,33.8,9.3,6.6,48.1,43.4,41.6,33.4,72.5,78.5,70.1
Miami OH,52.4,56.1,21.5,34.8,17.5,21.7,26.6,25.9,68.7,54.7,58.2,32.9,35.6,11.1,12.9,44.7,53.7,42,45.3,69.8,69.6,68.7
New Mexico,50,51.8,41,36.9,15.6,21.8,34.2,29.1,75.4,49.1,48.5,34.6,38,15.5,8.4,56.5,59.9,32.3,38.1,75.1,66.3,64.5
Coppin St.,39.3,57.2,32.1,37.4,20.6,17.5,24.9,34.1,67.1,40.5,61.2,24.4,35,3.3,14.9,46.6,59.2,29.5,45.5,68.7,65.7,68.9
Temple,47.8,45.6,43.5,31,15,15.2,31.3,33.3,69.6,49,45.3,30.2,30.8,9.9,11.2,39.8,52.4,32.8,39.6,69.7,70.6,70.4
Monmouth,42.9,55.3,35.3,45.8,18.1,17.8,31.6,31.9,69,38.2,56.8,34.2,35.4,8.1,11.1,48.3,60.1,36.1,40.7,69,74.7,68.2
Southern,46.7,53.8,31.3,40.3,20,20.2,32.1,33.5,70.8,46.3,54.6,31.7,35.3,14,15.5,49.7,64.4,32.9,47.9,70.1,64.4,66.3
Southern Miss,47.6,52.9,35.7,32.1,21.2,16.4,28.5,30.4,71.8,49.6,54.6,29.8,33.5,13.9,10.6,60.4,49.7,39.2,37.9,71.4,67.8,70.6
California,54.8,54,41.3,33.8,19.3,16.8,38,27.4,70.2,53.4,53.2,38.1,36.9,10.8,10.9,40.5,45.9,38.6,36.8,70.6,73.9,67.3
